ID;Geslacht;LeeftijdOp31December;Marges;Perioden;Levensverwachting_1;LVInAlsGoedErvarenGezondheid_2;LVZonderMatigeEnErnstigeBeperking_3;LVZonderErnstigeBeperkingen_4;LVZonderLichteMatigeErnstigeBep_5;LVZonderChronischeZiektes_6;LVZonderChrZiekExclHogeBloeddruk_7;LVZonderPsychischeKlachtenMHI5_8;LVZonderGALIBeperkingen_9;LVZonderErnstigeGALIBeperkingen_10
2721;3000;17000;MW00000;1996JJ00;   11.76;     6.9;     8.3;       .;       .;     4.0;       .;       .;       .;       .
2722;3000;17000;MW00000;1997JJ00;   12.01;     6.6;     8.4;       .;       .;     3.5;       .;       .;       .;       .
2723;3000;17000;MW00000;1998JJ00;   12.07;     6.7;     8.2;       .;       .;     4.1;       .;       .;       .;       .
2724;3000;17000;MW00000;1999JJ00;   12.11;     6.4;     8.4;       .;       .;     3.9;       .;       .;       .;       .
2725;3000;17000;MW00000;2000JJ00;   12.22;     6.7;     8.3;       .;       .;     3.7;       .;       .;       .;       .
2726;3000;17000;MW00000;2001JJ00;   12.38;     6.5;     7.7;     9.3;     3.2;     3.3;     3.7;    10.2;       .;       .
2727;3000;17000;MW00000;2002JJ00;   12.42;     7.1;     8.2;     9.8;     3.8;     3.3;     4.2;    11.2;       .;       .
2728;3000;17000;MW00000;2003JJ00;   12.59;     7.2;     8.7;    10.2;     3.7;     3.5;     4.5;    11.0;       .;       .
2729;3000;17000;MW00000;2004JJ00;   12.99;     7.1;     8.3;    10.0;     3.4;     3.4;     4.1;    11.6;       .;       .
2730;3000;17000;MW00000;2005JJ00;   13.10;     7.6;     9.4;    10.9;     4.0;     3.2;     4.0;    11.9;       .;       .
2731;3000;17000;MW00000;2006JJ00;   13.39;     7.4;     9.1;    10.9;     3.4;     2.8;     3.6;    12.1;       .;       .
2732;3000;17000;MW00000;2007JJ00;   13.63;     8.6;    10.0;    11.2;     3.6;     3.5;     4.3;    12.3;       .;       .
2733;3000;17000;MW00000;2008JJ00;   13.87;     7.6;     9.0;    11.3;     4.3;     2.8;     4.2;    12.5;       .;       .
2734;3000;17000;MW00000;2009JJ00;   14.03;     8.9;     9.6;    11.7;     4.0;     2.9;     3.9;    13.0;       .;       .
2735;3000;17000;MW00000;2010JJ00;   14.21;     8.7;     9.8;    11.7;     4.3;     3.8;     5.1;    12.7;       .;       .
2736;3000;17000;MW00000;2011JJ00;   14.48;     8.3;    10.7;    12.6;     4.0;     2.6;     3.5;    13.3;       .;       .
2737;3000;17000;MW00000;2012JJ00;   14.45;     8.6;    10.9;    12.6;     4.9;     3.2;     4.0;    13.1;       .;       .
2738;3000;17000;MW00000;2013JJ00;   14.62;     8.9;    10.2;    12.2;     4.4;     3.3;     4.2;    12.9;       .;       .
2739;3000;17000;MW00000;2014JJ00;   14.98;     8.5;     9.9;    11.3;     5.2;     2.7;     3.8;    13.6;     6.6;    12.2
2740;3000;17000;MW00000;2015JJ00;   14.78;     8.8;    10.5;    12.3;     5.6;     2.5;     3.9;    13.9;     7.2;    12.6
2741;3000;17000;MW00000;2016JJ00;   14.90;     8.8;    10.5;    12.2;     5.0;     2.7;     3.8;    13.9;     7.6;    12.9
2742;3000;17000;MW00000;2017JJ00;   15.07;     9.2;    10.9;    12.4;     6.0;     2.9;     4.2;    14.1;     7.7;    13.5
2743;3000;17000;MW00000;2018JJ00;   15.13;     9.0;    11.1;    12.7;     5.6;     2.9;     3.9;    13.8;     7.9;    13.6
2744;3000;17000;MW00000;2019JJ00;   15.32;     9.4;    10.7;    12.7;     5.0;     2.4;     3.8;    14.0;     7.3;    13.5
2745;3000;17000;MW00000;2020JJ00;   14.64;     9.9;    10.7;    12.1;     5.0;     2.3;     3.8;    13.5;     7.2;    13.1
