ID;Geslacht;LeeftijdOp31December;Perioden;Overledenen_1
177;1100;10000;1998W116;2900
178;1100;10000;1998W117;2768
179;1100;10000;1998W118;2692
180;1100;10000;1998W119;2598
181;1100;10000;1998W120;2826
182;1100;10000;1998W121;2588
183;1100;10000;1998W122;2505
184;1100;10000;1998W123;2368
185;1100;10000;1998W124;2383
186;1100;10000;1998W125;2545
187;1100;10000;1998W126;2456
188;1100;10000;1998W127;2451
189;1100;10000;1998W128;2456
190;1100;10000;1998W129;2408
191;1100;10000;1998W130;2588
192;1100;10000;1998W131;2409
193;1100;10000;1998W132;2450
194;1100;10000;1998W133;2514
195;1100;10000;1998W134;2399
196;1100;10000;1998W135;2343
197;1100;10000;1998W136;2478
198;1100;10000;1998W137;2430
199;1100;10000;1998W138;2496
200;1100;10000;1998W139;2524
201;1100;10000;1998W140;2471
202;1100;10000;1998W141;2484
203;1100;10000;1998W142;2623
204;1100;10000;1998W143;2537
205;1100;10000;1998W144;2453
206;1100;10000;1998W145;2570
207;1100;10000;1998W146;2621
208;1100;10000;1998W147;2697
209;1100;10000;1998W148;2713
210;1100;10000;1998W149;2866
211;1100;10000;1998W150;3034
212;1100;10000;1998W151;3058
213;1100;10000;1998W152;2964
214;1100;10000;1998W153;1732
217;1100;10000;1999W101;3106
218;1100;10000;1999W102;3005
219;1100;10000;1999W103;2918
220;1100;10000;1999W104;2866
221;1100;10000;1999W105;2972
222;1100;10000;1999W106;3105
223;1100;10000;1999W107;3123
224;1100;10000;1999W108;3134
225;1100;10000;1999W109;3241
226;1100;10000;1999W110;3078
227;1100;10000;1999W111;2797
228;1100;10000;1999W112;2824
229;1100;10000;1999W113;2713
230;1100;10000;1999W114;2671
231;1100;10000;1999W115;2533
232;1100;10000;1999W116;2646
233;1100;10000;1999W117;2636
234;1100;10000;1999W118;2674
235;1100;10000;1999W119;2507
236;1100;10000;1999W120;2589
237;1100;10000;1999W121;2561
238;1100;10000;1999W122;2534
239;1100;10000;1999W123;2575
